,carat,cut,color,clarity,depth,table,price,x,y,z
12182,1.01,Ideal,F,SI1,62.0,57.0,5184,6.38,6.42,3.97
21833,1.5,Premium,I,VS1,62.7,59.0,9900,7.25,7.3,4.56
41712,0.56,Ideal,D,SI2,61.3,56.0,1243,5.3,5.33,3.26
3732,0.36,Ideal,I,VS1,62.1,57.0,568,4.54,4.58,2.83
21934,1.51,Premium,I,VS2,59.9,60.0,10010,7.42,7.36,4.43
18116,1.3,Very Good,I,VS1,62.1,59.0,7333,6.97,7.01,4.34
36342,0.32,Ideal,G,VVS1,61.7,56.0,936,4.41,4.37,2.71
38267,0.26,Very Good,E,SI1,62.0,54.0,384,4.08,4.11,2.54
21640,1.51,Very Good,E,SI2,61.8,57.0,9731,7.34,7.32,4.53
38905,0.33,Premium,E,VVS1,60.1,58.0,1052,4.51,4.47,2.7
21815,1.34,Ideal,G,VS1,62.7,57.0,9890,7.04,7.1,4.43
9537,1.01,Good,E,SI1,63.2,59.0,4619,6.25,6.28,3.96
16145,1.0,Premium,G,VS2,60.0,59.0,6451,6.54,6.46,3.9
27671,1.42,Ideal,F,VVS1,60.8,56.0,18682,7.25,7.32,4.43
8129,0.9,Premium,H,VS2,61.2,61.0,4355,6.18,6.08,3.75
16995,1.01,Very Good,E,VS2,63.4,60.0,6787,6.37,6.31,4.02
39762,0.36,Premium,D,VS2,60.5,58.0,1094,4.63,4.6,2.79
52936,0.7,Premium,E,SI1,59.1,62.0,2592,5.8,5.74,3.41
38307,0.37,Good,G,SI2,63.3,55.0,487,4.58,4.61,2.91
7206,0.91,Very Good,E,SI1,63.3,56.0,4191,6.12,6.17,3.89
576,0.8,Ideal,H,VS2,62.8,57.0,2834,5.91,5.87,3.7
3503,0.9,Good,E,SI2,63.4,60.0,3401,6.02,6.07,3.83
37562,0.31,Ideal,G,IF,61.7,56.0,988,4.38,4.34,2.69
24998,1.51,Good,G,VS1,62.4,59.0,13515,7.25,7.28,4.53
7242,1.11,Premium,I,SI2,61.5,58.0,4196,6.65,6.61,4.08
38377,0.41,Ideal,H,VS1,61.0,54.0,1024,4.84,4.8,2.94
5796,1.01,Very Good,J,SI2,62.8,59.0,3906,6.34,6.37,3.99
1978,0.7,Ideal,D,VS2,61.6,58.0,3092,5.66,5.7,3.5
26332,1.63,Ideal,G,VS1,61.7,55.0,15840,7.6,7.56,4.68
22222,1.61,Premium,D,SI2,61.3,58.0,10278,7.56,7.49,4.61
50033,0.72,Very Good,H,SI1,63.0,58.0,2198,5.68,5.71,3.59
45013,0.54,Premium,G,VS2,62.0,58.0,1637,5.21,5.18,3.22
20436,1.22,Very Good,G,IF,62.0,59.0,8793,6.8,6.85,4.23
39782,0.33,Premium,G,IF,59.4,59.0,1094,4.54,4.49,2.68
20913,1.34,Very Good,G,VS2,60.7,59.0,9127,7.04,7.07,4.28
3593,0.76,Ideal,H,VVS1,61.8,57.0,3423,5.82,5.86,3.61
22057,1.74,Ideal,E,SI2,62.3,57.0,10085,7.8,7.7,4.83
36289,0.32,Ideal,G,SI1,61.3,57.0,477,4.37,4.4,2.69
44163,0.5,Ideal,F,VS2,61.1,58.0,1565,5.1,5.13,3.13
14862,1.44,Good,G,I1,63.2,54.8,5987,7.18,7.21,4.54
46197,0.7,Fair,I,SI1,65.2,58.0,1749,5.6,5.56,3.64
44264,0.52,Ideal,E,VS2,61.4,54.0,1576,5.2,5.23,3.2
4371,0.73,Very Good,G,VVS1,62.9,59.0,3606,5.7,5.78,3.61
18576,1.23,Premium,H,VS1,61.1,58.0,7577,6.91,6.86,4.21
12133,1.02,Premium,H,VS2,61.9,57.0,5171,6.5,6.4,3.99
14561,1.0,Ideal,E,SI1,61.6,55.0,5880,6.45,6.43,3.97
148,0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48
19999,1.5,Very Good,E,SI2,62.8,57.0,8538,7.17,7.23,4.52
25922,2.0,Very Good,J,VVS2,63.0,59.0,15076,7.97,8.0,5.03
28597,0.3,Very Good,G,VS2,63.1,56.0,675,4.28,4.25,2.69
30250,0.26,Premium,E,VVS2,58.9,61.0,724,4.19,4.16,2.46
45056,0.58,Premium,E,SI1,62.7,58.0,1641,5.33,5.32,3.34
37368,0.4,Very Good,F,VS1,60.4,61.0,982,4.74,4.77,2.87
7726,0.26,Ideal,D,VS1,62.0,55.0,580,4.12,4.1,2.55
4537,1.0,Fair,H,SI2,65.1,58.0,3640,6.27,6.15,4.05
46573,0.52,Fair,F,VS1,57.2,59.0,1784,5.35,5.39,3.07
12234,1.02,Premium,D,SI2,59.7,60.0,5198,6.58,6.55,3.92
22771,1.7,Good,I,SI1,59.3,58.0,10796,7.72,7.77,4.59
542,1.01,Premium,H,SI2,61.6,61.0,2828,6.39,6.31,3.91
46703,0.55,Ideal,E,VS2,61.8,57.0,1792,5.34,5.27,3.28
18225,1.04,Good,F,VS1,63.2,57.0,7399,6.41,6.44,4.06
18208,1.02,Premium,D,VS2,62.9,60.0,7389,6.42,6.37,4.02
25041,0.3,Ideal,F,SI1,62.3,54.0,641,4.3,4.27,2.67
718,0.97,Ideal,F,I1,60.7,56.0,2856,6.43,6.41,3.9
34661,0.31,Ideal,E,VS2,62.0,55.0,872,4.35,4.33,2.69
2788,0.81,Ideal,H,VS1,61.8,58.0,3257,5.97,6.04,3.71
14900,1.02,Premium,D,SI1,62.3,59.0,5998,6.42,6.38,3.99
53632,0.3,Premium,I,VVS1,61.1,59.0,552,4.31,4.33,2.64
38971,0.4,Very Good,E,VS1,62.8,59.0,1053,4.63,4.67,2.92
795,0.71,Very Good,F,VVS1,63.2,60.0,2862,5.65,5.61,3.56
48710,0.7,Premium,G,SI1,61.5,58.0,2010,5.69,5.76,3.52
0,0.23,Ideal,E,SI2,61.5,55.0,326,3.95,3.98,2.43
18994,1.09,Ideal,G,VS1,62.3,55.0,7820,6.59,6.63,4.12
32985,0.3,Ideal,E,VVS2,61.0,56.0,812,4.33,4.39,2.66
31654,0.35,Premium,E,VS2,59.5,58.0,767,4.59,4.62,2.74
18176,1.13,Ideal,F,VS2,62.1,56.0,7369,6.65,6.71,4.15
32237,0.31,Ideal,G,VVS1,61.5,54.0,789,4.36,4.39,2.69
17754,1.33,Ideal,I,VS2,61.1,54.0,7148,7.14,7.15,4.37
12114,1.25,Premium,I,SI2,60.5,58.0,5166,7.0,6.96,4.22
25179,2.0,Fair,H,SI1,61.2,50.0,13764,8.17,8.08,4.97
52188,0.7,Ideal,G,SI1,62.5,56.0,2478,5.67,5.69,3.55
28778,0.39,Good,F,VS2,64.3,55.0,681,4.56,4.64,2.96
46420,0.5,Ideal,E,VS2,60.8,57.0,1768,5.16,5.13,3.13
33848,0.3,Premium,E,VS2,61.6,58.0,844,4.33,4.31,2.66
14441,1.37,Ideal,J,VS2,63.0,57.0,5831,7.11,7.05,4.46
1680,0.8,Ideal,H,VS2,62.1,54.0,3030,5.96,5.99,3.71
25361,0.28,Very Good,F,VVS1,60.1,59.0,642,4.24,4.25,2.55
25035,0.34,Good,E,SI1,60.5,60.1,641,4.5,4.53,2.73
27982,0.3,Very Good,E,VS2,62.6,58.0,658,4.25,4.28,2.67
2451,0.85,Ideal,E,SI2,62.8,57.0,3189,6.06,6.01,3.79
11769,1.0,Very Good,E,SI1,60.9,59.0,5082,6.38,6.43,3.9
33355,0.41,Premium,G,VS2,62.6,59.0,827,4.73,4.76,2.97
24504,1.5,Premium,G,VS2,60.3,60.0,12787,7.34,7.26,4.4
45725,0.72,Very Good,H,SI2,63.3,57.0,1698,5.7,5.67,3.6
34184,0.33,Premium,G,VS1,62.0,59.0,854,4.42,4.36,2.72
43469,0.39,Ideal,E,IF,61.5,55.5,1418,4.68,4.72,2.88
40549,0.4,Ideal,E,VS2,61.4,57.0,1150,4.78,4.75,2.92
10944,1.01,Good,F,SI1,63.5,59.0,4899,6.29,6.38,4.02
6789,1.02,Ideal,I,SI2,60.6,56.0,4113,6.57,6.53,3.97
16462,1.01,Ideal,D,SI1,63.0,56.0,6579,6.36,6.41,4.02
52520,0.7,Ideal,F,SI1,61.8,56.0,2528,5.68,5.75,3.53
46251,0.57,Very Good,F,VS2,59.5,57.0,1754,5.39,5.43,3.22
22955,1.5,Very Good,F,SI1,63.9,58.0,11004,7.12,7.16,4.56
53498,1.01,Premium,J,SI2,59.3,56.0,2683,6.51,6.45,3.84
47637,0.51,Ideal,D,VS2,61.2,55.0,1882,5.17,5.13,3.15
9993,1.0,Premium,E,SI2,61.7,58.0,4704,6.39,6.34,3.93
5454,0.71,Premium,E,VVS1,62.5,57.0,3831,5.67,5.62,3.53
51861,0.52,Very Good,D,VVS2,59.8,55.0,2426,5.28,5.35,3.18
36513,0.4,Good,I,IF,62.3,62.0,945,4.69,4.72,2.93
1932,0.81,Premium,I,VVS2,62.9,59.0,3084,5.95,5.84,3.71
50702,0.53,Ideal,F,VVS2,61.3,55.0,2291,5.23,5.27,3.22
25527,2.02,Premium,I,SI2,59.4,59.0,14341,8.25,8.21,4.89
26163,2.11,Ideal,I,SI1,61.0,57.0,15486,8.37,8.29,5.08
19476,1.15,Ideal,D,VS2,58.5,57.0,8114,6.96,6.93,4.06
51220,0.7,Premium,I,VVS2,60.1,59.0,2352,5.8,5.72,3.46
14357,1.07,Premium,F,SI1,61.7,56.0,5813,6.66,6.5,4.06
42059,0.56,Ideal,H,SI1,61.9,54.0,1270,5.3,5.33,3.29
26594,1.74,Ideal,G,VS2,62.9,57.0,16316,7.68,7.64,4.82
27830,0.31,Very Good,G,VVS2,62.2,56.0,651,4.31,4.34,2.69
44183,0.5,Very Good,H,VVS2,62.9,56.0,1569,5.03,5.08,3.18
24295,1.07,Ideal,D,VVS2,60.3,56.0,12545,6.63,6.68,4.01
31884,0.3,Premium,G,VS1,61.8,59.0,776,4.37,4.34,2.69
43749,0.51,Ideal,E,SI1,62.1,55.0,1438,5.09,5.15,3.18
6596,0.91,Very Good,G,SI1,63.5,58.0,4081,6.15,6.04,3.87
23340,0.3,Very Good,H,SI1,61.3,58.0,421,4.29,4.33,2.64
3816,0.7,Ideal,F,VS2,61.0,55.0,3468,5.74,5.79,3.52
8254,0.76,Ideal,D,VS1,61.7,56.0,4377,5.84,5.87,3.61
14730,1.15,Ideal,I,VS1,61.3,56.0,5930,6.74,6.76,4.14
15533,1.47,Premium,J,SI2,60.0,58.0,6223,7.36,7.31,4.4
16936,1.2,Ideal,G,SI1,61.8,59.0,6762,6.77,6.8,4.19
11277,1.07,Ideal,E,SI1,60.4,57.0,4973,6.62,6.56,3.98
13460,1.01,Ideal,F,SI1,62.0,54.0,5527,6.41,6.49,4.0
41942,0.28,Premium,G,VVS2,60.2,60.0,504,4.24,4.26,2.56
26288,2.27,Premium,H,SI2,60.7,59.0,15783,8.5,8.45,5.15
38886,0.4,Premium,D,VS2,61.7,59.0,1050,4.75,4.72,2.92
32378,0.39,Very Good,J,VS1,63.5,58.0,790,4.64,4.59,2.93
10459,1.14,Premium,H,SI2,60.6,59.0,4788,6.8,6.77,4.11
480,0.53,Ideal,E,VVS1,61.9,55.0,2821,5.2,5.21,3.22
37282,0.4,Ideal,I,SI2,61.0,58.0,484,4.74,4.77,2.9
43771,0.58,Premium,H,VS2,59.7,59.0,1439,5.42,5.33,3.21
52421,0.7,Premium,D,SI1,61.2,58.0,2512,5.74,5.7,3.5
49503,0.55,Ideal,H,IF,61.5,55.0,2120,5.25,5.29,3.25
51581,0.72,Very Good,I,VS2,63.3,57.0,2393,5.66,5.72,3.6
40922,0.3,Ideal,F,SI1,62.3,53.9,499,4.28,4.31,2.68
11480,1.02,Ideal,H,SI1,61.9,57.0,5014,6.46,6.4,3.98
39238,0.51,Very Good,I,SI1,63.5,55.0,1068,5.07,5.11,3.23
47110,0.65,Premium,E,SI2,62.6,59.0,1827,5.54,5.49,3.45
11184,1.07,Ideal,H,SI1,61.1,56.0,4955,6.63,6.6,4.04
41001,0.43,Ideal,G,VVS1,61.8,55.0,1183,4.87,4.9,3.02
28514,0.32,Premium,I,IF,60.3,58.0,673,4.41,4.45,2.67
38281,0.28,Very Good,F,VS2,62.7,58.0,487,4.14,4.15,2.6
26057,1.7,Very Good,G,VS2,62.6,57.0,15259,7.6,7.67,4.78
39237,0.51,Very Good,I,SI1,62.5,58.0,1068,5.05,5.12,3.18
2172,0.71,Ideal,D,VS2,60.4,57.0,3135,5.77,5.82,3.5
38602,0.4,Premium,E,VS2,62.0,58.0,1038,4.73,4.69,2.92
5744,0.9,Ideal,G,SI1,60.2,56.0,3894,6.24,6.29,3.77
47480,0.59,Good,F,VS1,60.5,61.0,1861,5.43,5.5,3.31
7110,1.19,Premium,D,SI2,58.6,61.0,4168,6.93,6.89,4.05
43808,0.51,Premium,G,VS2,61.3,59.0,1443,5.17,5.11,3.15
44031,0.5,Very Good,E,VS2,61.8,57.0,1547,5.05,5.11,3.14
6876,1.01,Fair,H,SI2,64.9,56.0,4129,6.33,6.25,4.08
49854,0.63,Premium,E,VS1,60.4,58.0,2171,5.59,5.64,3.39
53258,0.72,Ideal,D,SI2,62.7,55.0,2647,5.7,5.72,3.58
31943,0.3,Ideal,F,VS2,60.7,57.0,776,4.34,4.29,2.62
31548,0.3,Ideal,E,VVS2,61.6,56.0,766,4.32,4.35,2.67
12719,0.29,Very Good,D,VVS2,59.1,61.0,600,4.33,4.37,2.57
9115,1.0,Very Good,E,SI2,63.2,56.0,4532,6.33,6.36,4.01
21166,1.17,Ideal,G,VS1,61.7,57.0,9326,6.71,6.75,4.15
23961,1.56,Very Good,H,VVS2,63.3,58.0,12098,7.3,7.35,4.64
45718,0.56,Ideal,E,SI1,62.7,57.0,1698,5.27,5.23,3.29
29151,0.41,Very Good,I,SI2,63.5,57.0,692,4.72,4.7,2.99
22554,1.53,Very Good,I,VS1,62.8,55.0,10602,7.35,7.4,4.63
38316,0.52,Very Good,J,SI1,62.5,59.0,1019,5.14,5.16,3.22
17055,0.4,Ideal,J,SI1,61.4,55.0,612,4.75,4.8,2.93
17562,1.0,Premium,F,VS2,59.0,59.0,7072,6.54,6.51,3.85
32746,0.36,Ideal,F,VS1,61.5,55.0,803,4.57,4.61,2.82
36245,0.41,Ideal,E,VS2,61.8,57.0,935,4.76,4.78,2.95
3445,0.9,Premium,H,SI1,61.4,60.0,3387,6.13,6.08,3.75
23673,1.59,Premium,G,SI1,62.3,60.0,11719,7.49,7.42,4.64
16592,1.03,Premium,G,VS1,62.2,59.0,6628,6.41,6.46,4.0
39264,0.38,Premium,G,VS1,61.9,56.0,1069,4.68,4.63,2.88
52356,0.74,Ideal,E,SI2,59.2,59.0,2501,5.92,5.97,3.52
22113,1.5,Very Good,G,SI1,63.1,59.0,10139,7.22,7.27,4.57
8363,1.01,Good,E,SI1,59.3,64.0,4399,6.47,6.49,3.84
24928,1.71,Premium,H,VS2,62.5,58.0,13376,7.64,7.52,4.74
7650,0.9,Very Good,G,VS2,61.3,59.0,4269,6.15,6.21,3.79
9356,1.09,Ideal,G,SI2,61.2,57.0,4586,6.63,6.68,4.07
4341,0.78,Very Good,E,VS1,60.0,56.0,3601,6.0,6.03,3.61
31321,0.32,Ideal,D,VS2,61.5,56.0,758,4.41,4.44,2.72
35112,0.3,Ideal,F,IF,62.0,56.0,886,4.31,4.33,2.68
8336,1.01,Premium,G,SI1,58.8,58.0,4395,6.59,6.51,3.85
32384,0.32,Ideal,D,VVS2,61.7,55.0,790,4.39,4.42,2.72
13237,1.05,Premium,H,VS2,62.7,59.0,5468,6.49,6.43,4.05
6072,0.9,Ideal,H,SI1,61.1,58.0,3967,6.24,6.19,3.79
49525,0.54,Ideal,G,VVS1,62.2,56.0,2123,5.2,5.22,3.24
22759,1.5,Ideal,E,SI1,62.6,56.0,10777,7.27,7.3,4.56
11289,1.01,Good,D,SI1,62.9,57.0,4977,6.34,6.37,4.0
21556,1.76,Ideal,F,SI2,62.6,55.0,9659,7.69,7.64,4.8
11804,1.01,Fair,F,VS2,65.2,52.0,5090,6.31,6.29,4.11
4778,1.03,Ideal,H,SI2,60.5,57.0,3692,6.58,6.52,3.96
35269,0.3,Ideal,E,VVS1,60.1,57.0,895,4.38,4.41,2.64
26730,2.03,Ideal,G,SI2,62.5,56.0,16505,8.1,8.05,5.05
45017,0.54,Premium,I,VVS1,60.8,61.0,1637,5.28,5.22,3.19
9836,1.01,Premium,D,SI2,58.3,59.0,4672,6.67,6.63,3.88
14172,1.51,Fair,I,I1,65.1,57.0,5750,7.16,7.12,4.65
48079,0.56,Very Good,E,VS1,62.7,60.0,1931,5.25,5.28,3.3
40163,0.47,Premium,G,VS2,61.0,59.0,1116,5.03,5.0,3.06
3675,0.9,Very Good,G,SI2,61.1,55.0,3445,6.21,6.26,3.81
48227,0.57,Premium,E,VS2,61.0,58.0,1949,5.34,5.31,3.25
35129,0.36,Ideal,G,VVS2,61.8,55.0,888,4.57,4.62,2.84
5337,0.9,Premium,H,VS2,61.2,61.0,3810,6.21,6.14,3.78
2905,0.8,Good,F,VS2,60.5,62.3,3283,5.97,6.01,3.62
50089,0.5,Ideal,E,VVS2,61.7,55.7,2206,5.09,5.12,3.13
10435,1.16,Very Good,I,SI1,62.7,57.0,4785,6.67,6.76,4.21
40405,0.54,Ideal,G,SI2,62.3,58.0,1133,5.17,5.2,3.23
28711,0.23,Premium,E,VVS2,61.8,58.0,680,3.94,3.92,2.43
8307,0.96,Premium,D,SI2,59.1,58.0,4388,6.53,6.44,3.83
31054,0.38,Ideal,E,VS2,61.9,57.0,751,4.61,4.66,2.87
36324,0.32,Ideal,G,VVS2,61.2,56.0,936,4.42,4.41,2.7
7372,0.71,Ideal,D,VVS2,61.6,56.0,4222,5.69,5.77,3.53
19477,1.05,Premium,F,VS1,62.3,55.0,8114,6.57,6.49,4.07
20938,1.16,Premium,G,VVS2,60.0,59.0,9146,6.89,6.82,4.11
9087,0.9,Very Good,D,SI1,63.0,58.0,4523,6.11,6.14,3.86
31018,0.41,Good,F,VS2,59.7,63.0,749,4.8,4.85,2.88
47810,0.71,Very Good,I,SI2,61.9,54.0,1902,5.67,5.74,3.53
1308,0.74,Very Good,H,VS1,62.3,56.0,2956,5.75,5.78,3.59
51410,0.73,Premium,I,VS1,61.2,59.0,2371,5.82,5.84,3.57
13411,1.16,Ideal,H,SI2,61.1,56.0,5509,6.78,6.79,4.15
19502,1.57,Fair,H,VS1,67.3,66.0,8133,7.85,5.75,3.87
29842,0.3,Very Good,D,VS2,62.9,58.0,710,4.23,4.26,2.67
46470,0.58,Ideal,F,SI2,60.9,56.0,1776,5.42,5.39,3.29
31301,0.32,Very Good,D,VS2,62.0,57.0,758,4.38,4.42,2.73
19565,1.51,Ideal,I,SI1,62.7,57.0,8193,7.35,7.3,4.59
49920,0.7,Premium,G,SI1,62.0,61.0,2184,5.67,5.62,3.5
3138,0.88,Ideal,E,SI2,62.2,57.0,3329,6.08,6.2,3.82
51215,0.7,Ideal,G,SI1,62.2,56.0,2352,5.72,5.69,3.55
29552,0.25,Ideal,F,VVS1,62.3,56.0,705,4.01,4.03,2.5
51700,0.7,Very Good,F,VS2,62.4,59.0,2400,5.64,5.71,3.54
8497,1.07,Ideal,G,SI2,61.7,57.0,4421,6.55,6.59,4.05
40329,0.39,Fair,G,IF,57.1,61.0,1127,4.83,4.88,2.77
26134,1.55,Ideal,F,VS2,61.8,54.0,15426,7.44,7.48,4.61
15768,1.18,Ideal,I,VS2,62.3,56.0,6304,6.76,6.73,4.21
15435,1.21,Premium,H,SI1,61.8,58.0,6180,6.83,6.79,4.21
28291,0.27,Ideal,I,VS1,62.1,54.0,432,4.16,4.18,2.59
35550,0.35,Ideal,H,VVS2,62.5,57.0,906,4.54,4.48,2.82
51666,0.7,Ideal,H,VS2,62.4,56.0,2398,5.63,5.72,3.54
3331,0.91,Premium,I,VS2,62.4,61.0,3376,6.18,6.16,3.85
37846,0.33,Ideal,D,VS2,62.6,56.0,1002,4.43,4.39,2.76
26396,2.14,Premium,I,SI1,61.3,61.0,15913,8.32,8.28,5.09
14002,1.2,Premium,I,VS2,62.6,58.0,5699,6.77,6.72,4.22
24698,0.3,Very Good,H,VVS1,62.6,56.0,638,4.25,4.28,2.67
38508,0.5,Ideal,I,SI1,59.8,59.0,1031,5.18,5.15,3.09
44423,0.55,Ideal,G,VS2,62.2,54.0,1588,5.27,5.28,3.28
26801,2.01,Very Good,H,VS2,63.5,59.0,16677,7.92,7.86,5.01
31854,0.3,Ideal,H,VVS2,61.3,57.0,776,4.33,4.31,2.65
23285,1.65,Premium,D,SI1,60.4,60.0,11310,7.63,7.58,4.59
31977,0.26,Very Good,F,VS2,62.4,58.0,453,4.06,4.08,2.54
41540,0.42,Ideal,D,VS1,61.1,57.0,1235,4.84,4.81,2.95
49015,0.5,Premium,F,VVS2,61.9,58.0,2052,5.07,5.1,3.15
17592,1.09,Ideal,G,VS2,62.4,55.0,7081,6.61,6.56,4.11
30055,0.41,Premium,G,SI1,61.3,58.0,719,4.76,4.8,2.93
13481,1.06,Premium,F,SI1,58.4,61.0,5535,6.73,6.69,3.92
20424,1.49,Fair,F,SI1,59.6,63.0,8779,7.2,7.34,4.33
29240,0.37,Very Good,F,VS2,59.2,61.0,696,4.63,4.69,2.76
36702,0.4,Very Good,D,VS2,63.5,55.0,952,4.69,4.66,2.97
6468,0.9,Very Good,E,SI1,62.2,60.0,4054,6.14,6.17,3.83
41945,0.35,Very Good,H,SI1,61.3,55.0,504,4.55,4.58,2.8
25756,1.51,Very Good,E,VS2,62.4,59.0,14709,7.26,7.36,4.56
11601,1.08,Premium,G,SI1,59.4,60.0,5044,6.7,6.63,3.96
36229,0.38,Ideal,F,VS1,62.4,54.0,933,4.64,4.68,2.91
8426,1.06,Ideal,I,VS2,61.4,57.0,4405,6.57,6.52,4.02
45290,0.51,Ideal,E,VS2,61.5,55.0,1662,5.23,5.14,3.19
9394,1.0,Fair,F,SI1,64.8,58.0,4586,6.26,6.21,4.04
33470,0.32,Ideal,F,VS2,60.3,55.0,828,4.45,4.4,2.67
16634,1.02,Premium,F,VS2,62.4,59.0,6652,6.4,6.45,4.01
37679,0.42,Premium,H,VS2,62.1,57.0,992,4.8,4.76,2.97
5415,1.02,Premium,G,SI2,62.3,58.1,3822,6.41,6.38,4.0
32732,0.31,Very Good,F,VS2,63.4,56.0,802,4.32,4.29,2.73
5267,0.9,Good,E,SI1,63.9,57.0,3795,6.12,6.08,3.9
18809,1.05,Ideal,F,VS2,59.1,57.0,7697,6.67,6.66,3.94
4806,0.9,Good,F,SI1,58.0,58.0,3699,6.24,6.28,3.63
36750,0.33,Ideal,D,VVS2,60.9,57.0,955,4.46,4.48,2.72
38935,0.4,Very Good,E,VS1,60.1,58.0,1053,4.72,4.76,2.85
16868,1.37,Ideal,G,SI2,62.8,57.0,6730,7.12,7.06,4.45
7428,0.72,Ideal,F,IF,62.0,57.0,4228,5.71,5.78,3.56
11405,1.08,Ideal,I,VS2,61.6,56.0,5000,6.63,6.59,4.07
40542,0.35,Premium,E,IF,59.0,61.0,1148,4.64,4.62,2.73
27025,2.02,Premium,H,SI2,61.5,58.0,17166,8.14,8.1,4.99
19348,1.88,Good,J,SI2,57.9,59.0,8048,8.16,8.11,4.71
23300,1.52,Ideal,H,VS2,61.8,55.1,11333,7.38,7.42,4.58
12112,1.01,Ideal,G,SI1,62.2,55.0,5166,6.44,6.46,4.01
45509,0.56,Ideal,G,VS1,60.7,57.0,1682,5.27,5.34,3.22
1635,0.96,Premium,E,SI2,62.8,60.0,3016,6.3,6.24,3.94
29936,0.34,Very Good,E,SI1,63.4,55.0,714,4.46,4.44,2.82
6463,0.8,Ideal,E,SI1,61.1,56.0,4053,5.98,6.01,3.66
27847,0.3,Ideal,D,VS1,61.0,57.0,651,4.31,4.32,2.63
44435,0.54,Ideal,E,VS2,61.8,57.0,1590,5.23,5.26,3.24
48828,0.71,Good,G,VS2,63.5,59.0,2029,5.63,5.67,3.59
15340,1.01,Very Good,F,VS2,61.5,57.0,6159,6.4,6.48,3.96
7198,1.02,Ideal,I,SI2,62.8,58.0,4189,6.37,6.41,4.01
26401,2.01,Very Good,I,VS2,62.1,60.0,15919,7.96,8.01,4.96
28256,0.33,Ideal,G,VS1,62.4,56.0,666,4.43,4.45,2.77
31755,0.44,Ideal,G,SI1,62.7,57.0,772,4.82,4.85,3.03
34806,0.31,Very Good,E,VVS1,62.3,59.0,878,4.32,4.38,2.71
37934,0.26,Very Good,G,VVS2,62.6,56.0,486,4.1,4.13,2.57
24956,1.58,Ideal,E,SI1,61.0,57.0,13434,7.5,7.55,4.59
26686,0.32,Ideal,E,SI2,61.6,56.0,427,4.4,4.43,2.72
27947,0.31,Good,G,SI1,63.3,57.0,431,4.3,4.33,2.73
50208,0.75,Very Good,H,SI2,61.9,56.0,2228,5.79,5.87,3.61
32117,0.39,Very Good,H,VVS2,62.4,57.0,784,4.67,4.7,2.92
41733,0.41,Ideal,E,VVS2,62.8,54.0,1243,4.77,4.72,2.98
45096,0.54,Ideal,I,IF,61.6,53.0,1647,5.26,5.3,3.25
3814,0.55,Ideal,D,VVS2,61.5,56.0,3468,5.26,5.28,3.24
38406,0.35,Ideal,H,VVS1,62.6,57.0,1024,4.47,4.45,2.79
23878,1.82,Very Good,G,SI2,61.3,58.0,11971,7.83,7.94,4.83
49897,0.72,Ideal,J,VS1,61.1,56.0,2177,5.84,5.82,3.56
20915,1.52,Good,I,SI1,64.0,58.0,9129,7.2,7.27,4.63
39508,0.4,Good,F,VVS1,60.6,62.0,1080,4.71,4.73,2.86
39643,0.3,Premium,F,IF,61.6,58.0,1085,4.34,4.3,2.66
16221,1.2,Ideal,H,SI1,60.8,57.0,6485,6.9,6.88,4.19
46910,0.56,Fair,F,VS2,57.0,67.0,1814,5.49,5.36,3.09
45686,0.54,Ideal,H,VVS2,61.8,56.0,1696,5.25,5.27,3.25
25428,1.55,Ideal,G,VS1,62.0,57.0,14174,7.37,7.42,4.58
15325,1.33,Good,D,SI2,59.0,64.0,6152,7.22,7.12,4.23
31036,0.37,Premium,H,VS2,61.4,58.0,749,4.64,4.61,2.84
32471,0.37,Premium,D,VS2,60.5,59.0,794,4.66,4.69,2.83
5196,1.01,Ideal,F,SI2,61.3,57.0,3777,6.4,6.35,3.91
13598,1.19,Very Good,D,SI2,63.5,57.0,5562,6.67,6.75,4.26
2607,0.9,Very Good,I,SI1,60.5,58.0,3220,6.22,6.27,3.78
39788,0.32,Ideal,E,IF,62.6,55.0,1095,4.38,4.41,2.75
44382,0.67,Good,J,VS1,64.2,55.6,1581,5.54,5.57,3.57
35160,0.4,Good,D,VS2,63.5,55.0,891,4.66,4.69,2.97
35325,0.35,Very Good,G,IF,62.6,59.0,898,4.43,4.49,2.79
6381,0.25,Ideal,E,VVS2,62.1,57.0,576,4.04,4.07,2.52
27624,2.38,Premium,H,VS1,60.9,59.0,18522,8.62,8.59,5.24
24639,2.03,Premium,J,SI1,62.1,59.0,12979,8.12,8.06,5.02
23963,1.08,Ideal,E,VVS1,61.0,56.0,12098,6.66,6.62,4.05
3267,0.71,Ideal,E,SI1,60.8,57.0,3360,5.8,5.84,3.54
8935,1.01,Premium,F,SI2,61.3,60.0,4497,6.43,6.4,3.93
45760,0.61,Very Good,I,VS2,62.7,57.0,1706,5.39,5.42,3.39
23355,0.3,Ideal,I,SI1,61.5,57.0,422,4.3,4.35,2.66
48048,0.48,Ideal,F,VVS1,62.0,55.0,1926,4.99,5.04,3.11
39197,0.43,Ideal,D,SI1,61.5,56.0,1064,4.87,4.82,2.98
3941,0.7,Premium,D,VS1,61.0,59.0,3501,5.79,5.72,3.51
27091,2.17,Ideal,I,SI1,60.4,56.0,17224,8.36,8.43,5.07
